ID,Option1,Option2,Option3,Option4
1,5x,6x,7x,8x
2,8,12,15,18
3,x²+6x+8,x²+8x+6,x²+4x+8,x²+6x+4
4,3,5,10,12
5,8x²,6x²,7x²,9x²
6,(x+2)(x+3),(x+3)(x+2),(x+5)(x+6),(x+1)(x+6)
7,x²+2x-15,x²+2x+15,x²+2x-6,x²+2x+6
8,5,7,6,9
9,2x²+x-3,2x²-x-3,2x²+x+3,2x²-x+3
10,9,7,8,10
11,(x+3)(x-3),(x-3)(x+3),(x+9)(x-9),(x-9)(x+9)
12,x²+x-6,x²+x+6,x²+x-9,x²-x-6
13,8,6,7,5
14,x²+8x+16,x²+4x+16,x²+6x+16,x²+5x+16
15,(x+5)(x-3),(x-5)(x+3),(x+3)(x-5),(x-3)(x+5)
16,7,8,6,5
17,6x²+x-10,6x²-x-10,6x²+x+10,6x²-x+10
18,3,4,2,5
19,x²-5x-10,x²-7x+10,x²-7x-10,x²-5x+10
20,(2x+1)(x+2),(2x+1)(2x+1),(x+2)(2x+1),(2x+1)(x-2)
21,x=4,x=5,x=6,x=7
22,6x+8,6x+6,5x+8,5x+6
23,x=5,x=6,x=7,x=8
24,x²+7x+10,x²+5x+10,x²+6x+10,x²+8x+10
25,x²+7x+10,x²+5x+12,x²+6x+9,x²+8x+11
26,2x²-x-15,2x²+x-15,2x²-x+15,2x²+x+15
27,x=4,x=3,x=2,x=5
28,x²-9x+14,x²-7x+12,x²-8x+14,x²-9x+12
29,6x²-7x-5,6x²+7x-5,6x²-5x-7,6x²+5x-7
30,x²-4x-12,x²-3x-12,x²-5x-12,x²-4x-10
31,x=-2,x=2,x=4,x=6
32,2x²+5x-12,2x²+3x-12,2x²+5x-10,2x²+7x-12
33,x=4,x=2,x=3,x=5
34,x²+3x-10,x²+2x-10,x²+4x-10,x²+3x-8
35,x²+5x-6,x²+4x-5,x²+6x-7,x²+5x-8
36,x=10,x=8,x=6,x=12
37,x²-7x+10,x²-6x+9,x²-8x+10,x²-7x+8
38,x=4,x=2,x=3,x=5
39,2(x-5)(x+1),2(x-4)(x+1),2(x-5)(x+2),2(x-6)(x+1)
40,6x²+x-6,6x²-x-6,6x²+x-4,6x²-x-4
41,2x+5,2x+3,2x+2,3x+5
42,2x,3x,5x,4x
43,x=5,x=6,x=7,x=4
44,3x+3,3x+1,2x+3,2x+1
45,y=8,y=6,y=7,y=5
46,x=6,x=8,x=10,x=4
47,7x,5x,6x,8x
48,3x-6,3x+6,3x-2,3x+2
49,x=4,x=3,x=5,x=6
50,x²+3x+2,x²+2x+2,x²+4x+2,x²+3x+1
51,2x+7,2x+6,3x+7,2x+5
52,x=12,x=6,x=10,x=8
53,x=4,x=2,x=5,x=6
54,x²+4x-5,x²+3x-5,x²+5x-5,x²+4x-4
55,6x,7x,5x,8x
56,x=7,x=6,x=8,x=9
57,3x,2x,4x,5x
58,x=2,x=1,x=3,x=4
59,x²-3x+2,x²-2x+2,x²-4x+2,x²-3x+1
60,6x,7x,5x,4x
