ID,CorrectAnswer
1,5x
2,15
3,x²+6x+8
4,5
5,8x²
6,(x+2)(x+3)
7,x²+2x-15
8,7
9,2x²+x-3
10,9
11,(x+3)(x-3)
12,x²+x-6
13,8
14,x²+8x+16
15,(x+5)(x-3)
16,8
17,6x²+x-10
18,3
19,x²-7x+10
20,(2x+1)(x+2)
21,x=4
22,6x+8
23,x=5
24,x²+7x+10
25,x²+7x+10
26,2x²-x-15
27,x=4
28,x²-9x+14
29,6x²-7x-5
30,x²-4x-12
31,x=-2
32,2x²+5x-12
33,x=4
34,x²+3x-10
35,x²+5x-6
36,x=10
37,x²-7x+10
38,x=4
39,2(x-5)(x+1)
40,6x²+x-6
41,2x+5
42,2x
43,x=5
44,3x+3
45,y=8
46,x=6
47,7x
48,3x-6
49,x=4
50,x²+3x+2
51,2x+7
52,x=12
53,x=4
54,x²+4x-5
55,6x
56,x=7
57,3x
58,x=2
59,x²-3x+2
60,6x
